PIESReferenceFieldCodeId|PIESFieldId|PIESCodeId|PIESExpiCodeId|ReferenceNotes
2387|90|604|32|
2388|89|604|31|
2389|64|604|30|
2390|65|604|29|
2391|91|605|33|
2392|90|605|32|
2393|89|605|31|
2394|64|605|30|
2395|65|605|29|
2396|91|606|33|
2397|90|606|32|
2398|89|606|31|
2399|64|606|30|
2400|65|606|29|
2401|91|607|33|
2402|90|607|32|
2403|89|607|31|
2404|64|607|30|
2405|65|607|29|
2406|91|602|33|
2407|90|602|32|
2408|89|602|31|
2409|64|602|30|
2410|65|602|29|
2411|91|603|33|
2412|90|603|32|
2413|89|603|31|
2414|64|603|30|
2415|65|603|29|
2416|91|599|33|
2417|90|599|32|
2418|89|599|31|
2419|64|599|30|
2420|65|599|29|
2421|91|600|33|
2422|90|600|32|
2423|89|600|31|
2424|64|600|30|
2425|65|600|29|
2426|91|769|33|
2427|90|769|32|
2428|89|769|31|
2429|64|769|30|
2430|65|769|29|
2431|91|596|33|
2432|90|596|32|
2433|89|596|31|
2434|64|596|30|
2435|65|596|29|
2436|91|597|33|
2437|90|597|32|
2438|89|597|31|
2439|64|597|30|
2440|65|597|29|
2441|91|598|33|
2442|90|598|32|
2443|89|598|31|
2444|64|598|30|
2445|65|598|29|
2446|91|765|33|
2447|90|765|32|
2448|89|765|31|
2449|64|765|30|
2450|65|765|29|
2451|91|766|33|
2452|90|766|32|
2453|89|766|31|
2454|64|766|30|
2455|65|766|29|
2456|91|767|33|
2457|90|767|32|
2458|89|767|31|
2459|64|767|30|
2460|65|767|29|
2461|91|768|33|
2462|90|768|32|
2463|89|768|31|
2464|64|768|30|
2465|65|768|29|
2466|91|761|33|
2467|90|761|32|
2468|89|761|31|
2469|64|761|30|
2470|65|761|29|
2471|91|762|33|
2472|90|762|32|
2473|89|762|31|
2474|64|762|30|
2475|65|762|29|
2476|91|763|33|
2477|90|763|32|
2478|89|763|31|
2479|64|763|30|
2480|65|763|29|
2481|91|764|33|
2482|90|764|32|
2483|89|764|31|
2484|64|764|30|
2485|65|764|29|
2486|91|756|33|
2487|90|756|32|
2488|89|756|31|
2489|64|756|30|
2490|65|756|29|
2491|91|757|33|
2492|90|757|32|
2493|89|757|31|
2494|64|757|30|
2495|65|757|29|
2496|91|758|33|
2497|90|758|32|
2498|89|758|31|
2499|64|758|30|
2500|65|758|29|
2501|91|588|33|
2502|90|588|32|
2503|89|588|31|
2504|64|588|30|
2505|65|588|29|
2506|91|760|33|
2507|90|760|32|
